class,sms
ham,"['fight', 'world', 'easy', ',', 'u', 'eith', 'win', 'los', 'bt', 'fightng', 'some1', 'clos', 'u', 'dificult', 'u', 'los', '-', 'u', 'los', 'u', 'win', '-', 'u', 'stil', 'los', '.']"
spam,"['bought', 'on', 'rington', 'get', 'text', 'cost', '3', 'pound', 'off', 'ton', 'etc']"
ham,"['yalru', 'lyfu', 'astn', 'chikku', '..', 'bt', 'innu', 'mundh', 'lyf', 'al', 'hall', 'ke', 'bilo', '(', 'marry', ')', 'program', 'edha', ',', 'lyf', 'nt', 'yet', 'ovr', 'chikku', '..', 'al', 'vargu', 'lyfu', 'meow', 'meow', ':', '-d']"
ham,"['kind', '.', 'first', 'on', 'get', 'twelv', '!', 'aah', '.', 'speak', 'tomo']"
spam,"['09066362231', 'urg', '!', 'mobl', '07xxxxxxxxx', 'a2,000', 'bon', 'cal', 'priz', '02/06/03', '!', '2nd', 'attempt', 'reach', '!', 'cal', '09066362231', 'asap', '!']"
ham,"['ok', 'good', 'lat', 'com', 'find', 'i_', '...', 'c', 'lucky', 'told', 'i_', 'go', 'ear', '...', 'lat', 'pple', 'tak', 'fin', 'i_', '...']"
ham,"['wat', 'mak', 'u', 'thk', ""'ll"", 'fal', '.', 'act', 'thk', ""'m"", 'quit', 'pron', '2', 'fal', '.', 'lucky', 'dad', 'hom', 'ask', 'com', 'n', 'fetch', 'already', '.']"
spam,"['07801543489', 'guarantee', 'latest', 'nok', 'phon', ',', '40gb', 'ipod', 'mp3', 'play', 'a500', 'priz', '!', 'txt', 'word', ':', 'collect', 'no:83355', '!', 'tc-llc', 'ny-usa', '150p/mt', 'msgrcvd18+']"
ham,"['account', 'refil', 'success', 'inr', '&', 'lt', ';', 'decim', '&', 'gt', ';', '.', 'keralacirc', 'prepaid', 'account', 'bal', 'rs', '&', 'lt', ';', 'decim', '&', 'gt', ';', '.', 'transact', 'id', 'kr', '&', 'lt', ';', '#', '&', 'gt', ';', '.']"
ham,"['wont', 'touch', 'permit', '.']"
spam,"['hi', 'lucy', 'hubby', 'meetin', 'day', 'fri', '&', 'b', 'alon', 'hotel', 'u', 'fant', 'cumin', '?', 'pls', 'leav', 'msg', '2day', '09099726395', 'lucy', 'x', 'callsa1/minmobsmorelkpobox177hp51fl']"
ham,"['7', 'wond', 'world', '7th', '6th', 'ur', 'styl', '5th', 'ur', 'smil', '4th', 'ur', 'person', '3rd', 'ur', 'nat', '2nd', 'ur', 'sms', '1st', '\\ur', 'lov', 'friendship\\', '``', '...', 'good', 'morn', 'dear', '``']"
ham,"['tak', 'smal', 'dos', 'tablet', 'fev']"
ham,"['oh', '.', 'u', 'must', 'tak', 'real', 'valentin', 'shop', 'first', '.']"
ham,"['sent', 'email', 'uo', 'address', 'incom', ',', 'right', '?']"
ham,"[',', 'gon', 'na', 'blak', ""'s"", 'night', '?', 'might', 'abl', 'get', 'littl', 'ear']"
ham,"['friend', 'gam', 'play', ',', 'word', 'say', ',', ""doesn\\'t"", 'start', 'march', 'end', 'may', ',', 'tomorrow', ',', 'yesterday', ',', 'today', 'e']"
ham,"['nic', '.', 'wait', '...', 'text', 'right', '?', ""'m"", 'gon', 'na', 'pay', 'ticket', ',', 'ya', 'know', '!']"
ham,"[""'m"", 'watch', 'lot', 'w', 'sis', 'dis', 'aft', '.', 'u', 'wan', '2', 'meet', '4', 'din', 'nit', '?']"
ham,"['keep', 'away', 'lik']"
ham,"['think', 'far', 'find', '.', 'check', 'googl', 'map', 'plac', 'dorm', '.']"
ham,"['trip', 'ok', 'quit', 'tir', 'lor', '.', 'un', 'start', 'today', ""'s"", 'ok', '4', 'cos', ""'m"", 'tak', 'mod', 'jus', 'cont', 'fin', 'yr', 'project', '.']"
ham,"['alway', 'say', 'welp', '?']"
ham,"[""'m"", 'guy', ',', 'browsin', 'compuls']"
ham,"['ok', '...']"
ham,"['pur', 'friend', 'two', 'smil', 'read', 'forward', 'mess', '..', 'smil', 'see', 'nam', '.', 'gud', 'evng', 'musthu']"
ham,"['sorry', ',', ""'ll"", 'cal', 'lat']"
ham,"['(', 'ad', ""n't"", 'real', 'car', 'ca', ""n't"", 'least', 'get', 'dud', 'fuck', 'hey', ',', 'money', 'want', ')']"
ham,"['hello', 'lov', '!', 'goe', 'new', 'job', '?', '?', 'happy', '?', 'think', '?', 'wak', ',', 'slav', 'send', 'teas', 'kiss', 'across', 'sea']"
ham,"['told', 'numb', 'gautham', '..']"
ham,"['tel', 'nee', 'investig', 'anywh', '.']"
ham,"['ok', 'juz', 'receiv', '..']"
ham,"['cant', 'believ', 'said', 'many', 'thing', 'morn', 'real', 'want', 'say', 'good', 'morn', ',', 'lov', '!', 'beauty', 'morn', '.', 'see', 'libr', 'lat', '.']"
spam,"['account', 'credit', '500', 'fre', 'text', 'mess', '.', 'act', ',', 'txt', 'word', ':', 'credit', ':', '80488', '&', 'cs', 'www.80488.biz']"
ham,"['end', 'might', 'stil', 'vomit', 'okay', '.', 'everyth', 'com', '.']"
ham,"['money', '...', '...', 'money', 'aint', 'thing', '....', 'sha', '!']"
ham,"['everyth', 'weath', '.', 'keep', 'extr', 'warm', '.', 'cold', 'noth', 'sery', '.', 'pls', 'lot', 'vitamin', 'c']"
ham,"['hey', 'gal', '..', 'anyon', 'u', 'going', 'e', 'driv', 'cent', 'tmr', '?']"
ham,"[""'m"", 'alway', 'yahoo', 'messeng', '.', 'send', 'mess', 'i.ll', 'get', 'may', 'send', 'mobl', 'mod', 'sha', 'i.ll', 'get', '.', 'reply', '.']"
ham,"[""'m"", 'put', '.', 'ready', '&', 'lt', ';', 'tim', '&', 'gt', ';']"
ham,"['tim', 'n', 'smil', 'r', 'two', 'cruc', 'thing', 'lif', '.', 'sometim', 'tim', 'mak', 'us', 'forget', 'smil', ',', 'sometim', 'someon', ""'s"", 'smil', 'mak', 'us', 'forget', 'tim', 'gud', 'noon']"
spam,"['sms', '.', 'ac', 'jsco', ':', 'energy', 'high', ',', 'u', 'may', 'know', '2channel', '.', '2day', 'ur', 'lead', 'skil', 'r', 'strong', '.', 'psych', '?', 'reply', 'an', 'w/question', '.', 'end', '?', 'reply', 'end', 'jsco']"
ham,"['host-based', 'idp', 'linux', 'system', '.']"
spam,"['hot', 'liv', 'fantasy', 'cal', '08707509020', '20p', 'per', 'min', 'ntt', 'ltd', ',', 'po', 'box', '1327', 'croydon', 'cr9', '5wb', '0870', 'nat', 'rat', 'cal']"
ham,"['da', ':', ')', 'what', 'plan', '?']"
ham,"['il', '&', 'lt', ';', '#', '&', 'gt', ';', 'ok', '.']"
ham,"['oh', 'god', '.', ""'m"", 'almost', 'hom']"
ham,"['tot', 'video', 'convert', 'fre', 'download', 'typ', 'googl', 'search', ':', ')']"
spam,"['thank', 'vot', '.', 'sing', 'along', 'star', 'karaok', 'mobl', '.', 'fre', 'link', 'reply', 'sing', '.']"
ham,"['wen', 'ur', 'lov', 'bcum', 'angry', 'wid', 'u', ',', 'dnt', 'tak', 'sery', '..', 'coz', 'angry', 'child', 'n', 'tru', 'way', 'show', 'deep', 'affect', ',', 'car', 'n', 'luv', '!', '..', 'kettod', 'mand', '...', 'nic', 'day', 'da', '.']"
ham,"['sound', 'lik', 'someth', 'someon', 'test', 'would', 'sayy']"
ham,"['u', 'lov', 'someon', 'dont', 'mak', 'lov', 'u', 'much', 'u', '.', 'lov', 'much', 'dont', 'want', 'lov', 'anyon', 'exceiv', '...', 'gud', 'nit', '.']"
ham,"['pet', ',', 'phon', 'stil', '?', 'jenny', 'colleg', 'leanne.what', '?', ':', ')']"
ham,"['oop', 'sorry', '.', 'check', ""n't"", 'mind', 'pick', 'tomo', 'half', 'eight', 'stat', '.', 'would', 'ok', '?']"
ham,"['hey', 'sweet', ',', 'wond', 'mom', 'might', 'com', '?', 'want', 'send', 'fil', 'someon', 'wo', ""n't"", 'go', 'yahoo', 'connect', 'suck', ',', 'rememb', 'set', 'pag', 'go', 'download', 'form', 'disc', '?', 'could', 'tel', '?', 'know', 'way', 'download', 'big', 'fil', '?', 'download', 'stuff', 'direct', 'internet', '.', 'help', 'would', 'gre', ',', 'prey', '...', '*', 'teas', 'kiss', '*']"
ham,"['how', 'champ', 'leav', 'glasgow', '!']"
ham,"['k', ':', ')', 'best', ':', ')', 'congr', '...']"
ham,"['wond', ""'ll"", 'get', 'text', '?']"
ham,"['nee', 'com', 'hom', 'giv', 'good', 'lovin', '...']"
spam,"['brand', 'new', 'mobl', 'mus', 'serv', 'liv', '.', 'fre', 'mus', 'play', 'ar', 'short', '.', 'instal', 'phon', 'brows', 'cont', 'top', 'art', '.']"
ham,"['shal', 'ask', 'on', 'thing', 'dont', 'mistak', '.']"
ham,"['check', 'wid', 'corect', 'spel', 'i.e', '.', 'sarcasm']"
spam,"['urg', '!', 'mobl', 'award', 'a2,000', 'bon', 'cal', 'priz', '1/08/03', '!', '2nd', 'attempt', 'contact', '!', 'cal', '0871-4719-523', 'box95qu', 'bt', 'nat', 'rat']"
ham,"['angry', '.', 'hap', 'dear']"
ham,"['thk', 'u', 'dun', 'haf', '2', 'hint', 'e', 'for', 'already', 'lor', '...', 'cos', 'told', 'ron', 'n', 'dar', 'going', '2', 'tel', 'shuhu', '.']"
ham,"['yup', 'ok', 'thanx', '...']"
ham,"['hi', ':', ')', 'cts', 'employ', '?']"
ham,"['pls', 'pls', 'find', 'aunt', 'nik', '.']"
ham,"['wow', '...', 'lov', 'sooo', 'much', ',', 'know', '?', 'bar', 'stand', '!', 'wond', 'day', 'goe', 'wel', ',', 'lov', '...', 'think', 'miss']"
ham,"['screaming', 'mean', 'shout', '..']"
ham,"['hey', 'hap', 'de', '.', 'alright', '.']"
ham,"['pick', 'receipt', 'someth', 'ear']"
ham,"['think', 'chenna', 'wel', 'settl', '?']"
ham,"['oh', 'dang', '!', ""n't"", 'mean', 'send', '!', 'lol', '!']"
ham,"['unfortun', ""'ve"", 'found', 'pick', 'sist', 'airport', 'ev', ""n't"", 'think', ""'ll"", 'going', '.', 'try', 'go', 'on', 'th']"
ham,"['horr', 'bf', '...', 'v', 'hungry', '...']"
ham,"['rememb', 'day', '..']"
spam,"['nok', '7250i', '.', 'get', 'win', 'fre', 'auct', '.', 'tak', 'part', 'send', 'nok', '86021', '.', 'hg/suite342/2lands', 'row/w1jhl', '16+']"
ham,"[""'s"", 'feel', '?', 'mr.', 'real', 'valentin', 'yo', 'valentin', 'ev', 'tho', 'u', 'hard', 'play', '!', '!']"
ham,"['sound', 'good', '.', 'fing', '.', 'mak', 'difficult', 'typ']"
ham,"['midnight', 'earliest']"
ham,"[""'re"", 'sur', ""'m"", 'try', 'mak', 'xavy', 'smok', ""n't"", 'want', 'smok', 'told', 'smok', 'much', '?']"
ham,"['k', 'com', 'nordstrom', ""'re"", 'don']"
ham,"['u', 'konw', 'waht', 'rael', 'friend', 'im', 'gving', 'yuo', 'exmpel', ':', 'jsut', 'es', 'tih', 'msg', '..', 'evrey', 'splleing', 'tih', 'msg', 'wrnog', '..', 'bt', 'sitl', 'yuo', 'raed', 'wihtuot', 'ayn', 'mitsak', '..', 'goodnight', '&', 'amp', ';', 'nic', 'sleep', '..', 'sweet', 'dream', '..']"
ham,"['press', 'conf', 'da', ':', ')']"
spam,"['hello', 'orang', '.', '1', 'mon', ""'s"", 'fre', 'access', 'gam', ',', 'new', 'sport', ',', 'plu', '10', 'fre', 'text', '20', 'photo', 'mess', ',', 'reply', 'ye', '.', 'term', 'apply', ':', 'www.orange.co.uk/ow']"
ham,"['complet', 'degr', '.', 'us', 'join', 'fin', '.']"
ham,"['good', 'afternoon', ',', 'lov', '!', 'job', 'prospect', '?', 'miss', '?', '?', 'lazy', 'bleak', ',', 'hmmm', '?', 'happy', 'fil', 'lov', '?']"
ham,"['shant', 'disturb', 'u', 'anym', '...', 'jia', '...']"
ham,"['bish', 'lar', 'near', '...', 'nee', 'buy', 'ear', 'cos', 'buy', 'got', 'ta', 'park', 'car', '...']"
ham,"[',', 'dont', 'know', 'oh']"
ham,"['dud', 'sux', 'snak', '.', 'got', 'old', 'raid', 'got', 'buff']"
ham,"['say', 'hi', 'get', 'ass', 'back', 'sou', 'tamp', '(', 'pref', 'keg', ')']"
ham,"['e', 'msg', 'jus', '.', 'u', 'said', 'thank', 'gift', '.']"
ham,"['u', '...']"
ham,"['ok', 'dear', '.', 'cal', 'chech']"
ham,"['yeah', 'tot', '.', 'u', 'wan', 'na', '?']"
ham,"['ok', 'found', 'dis', 'pier', 'cardin', 'on', 'look', 'norm', 'cost', '20', 'sal', '.']"
ham,"['good', 'sleep', 'rhythm', '.', 'person', 'est', 'rhythm', 'body', 'learn', 'us', '.', 'want', 'know', ':', '-', ')']"
ham,"['wat', 'r', 'u', '?']"
ham,"['mess', '.', 'truro', 'hospit', 'ext', '.', 'phon', '.', 'phon', 'sid']"
ham,"['singl', 'lin', 'big', 'mean', ':', ':', ':', ':', ':', '\\miss', 'anyth', '4', 'ur', '\\', '``', 'best', 'life\\', '``']"
ham,"['got', 'gas', 'money', ',', 'chant', 'gang', 'want', 'go', 'grand', 'nat', 'adv', '?']"
ham,"['dnt', 'worry', '...', 'us', 'ic', 'piec', 'clo', 'pack.also', 'tak', '2', 'tablet', '.']"
ham,"['dud', 'saw', 'park', 'car', 'sunroof', 'pop', '.', 'sux']"
ham,"['get', 'ready', 'put', 'excel', 'sub', 'fac', ':', ')']"
ham,"['tmrw', '.', 'im', 'fin', '9', 'door']"
ham,"['&', 'lt', ';', '#', '&', 'gt', ';', 'g', 'saw', 'day', 'ago', ',', 'guy', 'want', 'sel', 'wif', '&', 'lt', ';', '#', '&', 'gt', ';', '3g', '&', 'lt', ';', '#', '&', 'gt', ';', '.', ""'s"", 'blank', '.']"
ham,"['lat', '.']"
ham,"['whatev', ',', 'im', 'pretty', 'piss', '.']"
ham,"['today', 'acceiv', 'day', '..', 'u', 'acceiv', '?', 'broth', 'sist', 'lov', 'dear1', 'best1', 'clos1', 'lvblefrnd', 'jstfrnd', 'cutefrnd', 'lifpartnr', 'belovd', 'swtheart', 'bstfrnd', 'rply', 'mean', 'enemy']"
ham,"['dont', 'much', 'im', 'class', '.']"
ham,"[':', '-', ')', 'got', 'rumo', 'going', 'buy', 'apart', 'chenna', ':', '-', ')']"
ham,"['near', 'kalain', 'tv', 'office.thenampet']"
spam,"['ur', 'cash-balance', 'cur', '500', 'pound', '-', 'maxim', 'ur', 'cash-in', 'send', 'go', '86688', '150p/msg', '.', 'cc', '08718720201', 'hg/suite342/2lands', 'row/w1j6hl']"
spam,"['sms', 'auct', '-', 'brand', 'new', 'nok', '7250', '4', 'auct', 'today', '!', 'auct', 'fre', '2', 'join', '&', 'tak', 'part', '!', 'txt', 'nok', '86021', '!', 'hg/suite342/2lands', 'row/w1j6hl']"
ham,"['sis', 'catch', 'e', 'show', 'e', 'afternoon', ""'m"", 'watch', 'w', '.', 'c', 'u', 'wan', '2', 'watch', 'today', 'tmr', 'lor', '.']"
ham,"['sound', 'gd', '...', 'hah', '...', '...', 'wah', ',', 'u', 'yan', 'jiu', 'fast', 'liao', '...']"
ham,"['.', 'nosy', 'guess', '.', 'idk', 'react', ""'m"", 'freak', '?']"
ham,"['rememb', 'hurt', 'day', 'sat', 'impost', 'me.need', 'pay', 'pric', ',', 'it.may', 'destiny', 'keep', 'going', 'u', 'said', 'pray', 'get', 'mind', 'get', '.']"
ham,"['mak', 'girl', 'happy', '?', ""'s"", 'difficult', 'mak', 'girl', 'happy', '.', 'u', 'nee', '...', '1.', 'friend', '2.', 'comp', '3.', 'lov', '4.', 'chef', '.', '.', '.', '&', 'lt', ';', '#', '&', 'gt', ';', '.', 'good', 'list', '&', 'lt', ';', '#', '&', 'gt', ';', '.', 'org', '&', 'lt', ';', '#', '&', 'gt', ';', '.', 'good', 'boyfriend', '&', 'lt', ';', '#', '&', 'gt', ';', '.', 'cle', '&', 'lt', ';', '#', '&', 'gt', ';', '.', 'sympathet', '&', 'lt', ';', '#', '&', 'gt', ';', '.', 'athlet', '&', 'lt', ';', '#', '&', 'gt', ';', '.', 'warm', '.', '.', '.', '&', 'lt', ';', '#', '&', 'gt', ';', '.', 'cour', '&', 'lt', ';', '#', '&', 'gt', ';', '.', 'determin', '&', 'lt', ';', '#', '&', 'gt', ';', '.', 'tru', '&', 'lt', ';', '#', '&', 'gt', ';', '.', 'depend', '&', 'lt', ';', '#', '&', 'gt', ';', '.', 'intellig', '.', '.', '.', '&', 'lt', ';', '#', '&', 'gt', ';', '.', 'psycholog', '&', 'lt', ';', '#', '&', 'gt', ';', '.', 'pest', 'extermin', '&', 'lt', ';', '#', '&', 'gt', ';', '.', 'psychy', '&', 'lt', ';', '#', '&', 'gt', ';', '.', 'heal', '.', '.', '&', 'lt', ';', '#', '&', 'gt', ';', '.', 'styl', '&', 'lt', ';', '#', '&', 'gt', ';', '.', 'driv', '.', '.', 'aaniy', 'pudung', 'venaam', '..']"
ham,"[',', 'princess', '?', 'bet', 'brotha', 'chas', '!']"
ham,"['shal', 'book', 'chez', 'jul', 'half', 'eight', ',', ""'s"", 'ok', '?']"
ham,"['hhahhaahahah', 'rofl', 'wtf', 'nig', 'leonardo', 'room', 'someth']"
ham,"['yep', ',', 'derek', ""'s"", 'hous', ',', 'see', 'sunday', '&', 'lt', ';', '3']"
ham,"[""'s"", 'cool', ',', 'let', 'know', 'kick', 'around', '&', 'lt', ';', '#', '&', 'gt', ';', ',', ""'ll"", 'day']"
ham,"['sorry', ',', ""'ll"", 'cal', 'lat']"
ham,"['wond', 'would', 'okay', 'cal', 'unc', 'john', 'let', 'know', 'thing', 'niger', 'r', '.', '&', 'lt', ';', '#', '&', 'gt', ';', 'doll', '2years', 'sent', 'know', 'strain', 'plan', 'pay', 'back', 'every', 'dim', 'giv', '.', 'every', 'dim', 'expect', 'anyth', 'pract', '.', 'someth', 'lik', '.']"
ham,"['charg', 'transf', 'charg', 'withdraw', 'anyhow', 'lik']"
ham,"['dont', 'search', 'lov', ',', 'let', 'lov', 'find', 'u.', 'that', 'cal', 'fal', 'lov', ',', 'bcoz', 'u', 'dont', 'forc', ',', 'u', 'fal', 'u', 'know', 'smeon', 'hold', 'u', '...', 'bslvyl']"
ham,"['4.', 'let', ""'s"", 'go', 'bil', 'mil']"
ham,"['lov', '.', 'set', 'soul', 'fir', '.', 'spark', '.', 'flam', '.', 'big', 'rawr', 'flam', '.', 'xoxo']"
ham,"['somewhr', 'someon', 'sur', 'mad', '4', 'u.', 'god', 'decid', 'perfect', 'tim', 'mak', 'u', 'meet', 'dat', 'person', '.', '.', '.', '.', 'til', 'den', ',', '.', '.', '.', '.', '.', 'enjoy', 'ur', 'crush', '..', '!', '!', '!', ';', '-', ')']"
ham,"[""'s"", 'honeymoon', 'outfit', '.', ':', ')']"
ham,"['help', 'propos', 'going', 'back', 'tomorrow']"
spam,"['priv', '!', '2003', 'account', 'stat', 'show', '800', 'un-redeemed', 's.', 'i.', 'm.', 'point', '.', 'cal', '08719899230', 'ident', 'cod', ':', '41685', 'expir', '07/11/04']"
ham,"['nev', 'blam', 'day', 'ur', 'lif', '.', 'good', 'day', 'giv', 'u', 'happy', '.', 'bad', 'day', 'giv', 'u', 'expery', '.', 'ess', 'lif', '!', 'god', 'bless', '!', 'good', 'morn', '.', ':']"
ham,"['pls', 'confirm', 'tim', 'collect', 'chequ', '.']"
spam,"['reg', 'subscrib', 'yr', 'draw', '4', 'a100', 'gift', 'vouch', 'b', 'ent', 'receipt', 'correct', 'an', '.', 'next', 'olymp', '.', 'txt', 'an', '80062']"
spam,"['urg', '!', 'mobl', 'numb', 'award', 'a2000', 'priz', 'guarantee', '.', 'cal', '09061790121', 'land', 'lin', '.', 'claim', '3030.', 'valid', '12hrs', '150ppm']"
ham,"['daddy', 'tak', 'good', 'car', ':', ')']"
ham,"['yeah', 'prob', ',', 'stil', 'got', 'ta', 'check', 'leo']"
ham,"['k.then', 'spec', '?']"
ham,"['carlo', 'tak', 'sweet', 'tim', 'us', 'let', 'know', 'patty', 'done/want', 'smok', ""'ll"", 'tel', 'haul', 'ass']"
ham,"['ok', 'pa.', 'noth', 'problem', ':', '-', ')']"
ham,"['heard', 'job', '?', ""'m"", 'going', 'wildl', 'talk', 'tonight', 'u', 'want2come', '.', 'that2worzels', 'wizzl', 'whatev', '?', '!']"
ham,"['god', 'pick', 'flow', 'dippeditinadew', ',', 'lov', 'touch', 'itwhichturnedinto', 'u', ',', 'gift', 'tomeandsaid', ',', 'friend', '4u']"
ham,"['cam', 'hostel', '.']"
ham,"['ok', 'prob', '...', ""'ll"", 'com', 'lunch', '...']"
ham,"['jus', 'tel', 'u', 'dat', ""'ll"", 'b', 'leav', '4', 'shangha', '21st', 'instead', ""'ll"", 'haf', 'tim', '2', 'meet', 'cya', '...']"
ham,"['freez', '?', 'hom', 'yet', '?', 'rememb', 'kiss', 'mom', 'morn', '?', 'lov', '?', 'think', '?', 'miss', 'yet', '?']"
ham,"['ready', '*', 'big', 'day', 'tomorrow', '?']"
ham,"[""'ll"", 'prob', 'around', 'mu', 'lot']"
ham,['645']
spam,"['rt-king', 'pro', 'video', 'club', '>', '>', 'nee', 'help', '?', 'info', '@', 'ringtoneking.co.uk', 'cal', '08701237397', 'must', '16+', 'club', 'credit', 'redeem', 'www.ringtoneking.co.uk', '!', 'enjoy', '!']"
ham,"['thnx', 'dud', '.', 'u', 'guy', '2nite', '?']"
ham,"['sef', 'dey', 'laugh', '.', 'meanwhil', ""'s"", 'darl', 'anjy', '!']"
ham,"['mm', 'food', 'da']"
ham,"['k', ',', 'mak', 'sens', ',', 'btw', 'carlo', 'difficult', 'guy', 'gon', 'na', 'smok', 'go', 'pick', 'second', 'batch', 'get', 'gas']"
ham,"['u', 'download', 'fring', 'ap', '?']"
ham,"['2', 'oz', 'guy', 'kind', 'flaky', 'on', 'friend', 'interest', 'pick', '$', '&', 'lt', ';', '#', '&', 'gt', ';', 'wor', 'tonight', 'poss']"
ham,"['friend', 'u', 'stay', 'fb', 'chat']"
ham,"['fuck', 'bab', ',', 'miss', 'sooooo', 'much', '!', '!', 'wish', 'sleep', '...', 'bed', 'lon', '...', 'go', ',', 'sleep', '...', 'dream', ',', 'lov', '...']"
ham,"['liv', 'simpl', '..', 'lov', 'also', 'simpl', '..', 'laugh', 'simpl', '..', 'win', 'tooo', 'simpl', '..', ',', ""'simple"", ""'"", 'difficult', '..', 'gud', 'nte', '.', ':', '-']"
spam,"['u', 'secret', 'admir', 'look', '2', 'mak', 'contact', 'u-find', 'r', '*', 'rev', 'think', 'ur', 'special-cal', '09058094599']"
ham,"['ah', ',', 'wel', 'confus', 'thing', ',', 'doesnut', '?']"
spam,"['500', 'fre', 'text', 'msgs', '.', 'text', 'ok', '80488', ""'ll"", 'credit', 'account']"
ham,"['hi', 'dear', 'cal', 'urgnt', '.', ""n't"", 'know', 'what', 'problem', '.', ""n't"", 'want', 'work', 'problem', 'least', 'tel', '.', 'wat', 'reply', '.']"
ham,"['dear', '.', 'ok', '?']"
spam,"['select', 'stay', '1', '250', 'top', 'brit', 'hotel', '-', 'noth', '!', 'holiday', 'wor', 'a350', '!', 'claim', ',', 'cal', 'london', '02072069400.', 'bx', '526', ',', 'sw73ss']"
ham,"['ye', 'princess', '!', 'want', 'mak', 'happy', '...']"
ham,"['sound', 'lik', 'many', 'tal', '!', 'would', 'lik', 'go', 'din', 'dat', 'next', 'week', '?']"
ham,"['going', 'film', '2day', 'da', '.', '6pm', '.', 'sorry', 'da', '.']"
ham,"['watch', 'movy', 'already', '.', 'xy', 'want', '2', 'shop', ""'m"", 'shop', 'w', '.']"
ham,"['hello', 'littl', 'party', 'anim', '!', 'thought', ""'d"", 'buzz', 'friend', '...', '*', 'grin', '*', '...', 'remind', 'lov', 'send', 'naughty', 'ad', 'kiss']"
ham,"['yesterday', '.', 'going', 'hom', '.']"
spam,"['eery', 'nok', 'ton', '4u', ',', 'rply', 'ton', 'titl', '8007', 'eg', 'ton', 'dracul', '8007', 'titl', ':', 'ghost', ',', 'addamsf', ',', 'munst', ',', 'exorc', ',', 'twilight', 'www.getzed.co.uk', 'pobox36504w45wq', '150p']"
ham,"['com', 'lif', 'brought', 'sun', '..', 'shiny', ',', 'warm', 'heart', '.', 'put', 'const', 'smil', 'fac', '...', 'mak', 'feel', 'lov', 'car']"
ham,"['shit', ',', ""n't"", 'surpr', ',', 'went', 'spent', 'ev', 'french', 'guy', 'met', 'town', 'fool', 'around', 'bit', ""n't"", 'let', 'fuck']"
spam,"['0a', '$', 'network', 'allow', 'company', 'bil', 'sms', ',', 'respons', '\\suppliers\\', '``']"
ham,"['gre', 'comedy', '..', 'cant', 'stop', 'laugh', 'da', ':', ')']"
spam,"['freemsg', ':', 'feelin', 'kind', 'lnly', 'hop', 'u', 'lik', '2', 'keep', 'company', '!', 'jst', 'got', 'cam', 'moby', 'wan', 'na', 'c', 'pic', '?', 'txt', 'reply', 'dat', '82242', 'msg150p', '2rcv', 'hlp', '08712317606', 'stop', '82242']"
ham,"['alright', ',', ""'re"", 'set', ',', 'text', 'man']"
ham,"['hi', ',', '?', ""'re"", ""'re"", 'keen', 'go', 'kind', 'feel', ""n't"", 'go', 'tomo', ',', ""n't"", 'mind', '?']"
ham,"['sleep', 'nt', 'feel', 'wel']"
ham,"['u', 'switch', 'fon', 'dammit', '!', '!']"
ham,"['ind', 'tak', 'lead', ':', ')']"
ham,"['i.ll', 'post', 'l8r', '.', 'class']"
ham,"['thts', 'wat', 'wright', 'broth', 'fly', '..']"
ham,"['ev', '*', 'v', 'good', 'somewh', 'ev', 'lad', '.', 'fil', ',', ""n't"", 'worry', 'u_', 'head', '*', 'ok', 'throat', '*', 'wreck', '.', 'see', 'six', '!']"
ham,"['u', 'laugh', 'real', 'loud', '..', 'u', 'talk', 'spont', '..', 'u', 'dont', 'car', 'oth', 'feel', '..', 'u', 'prob', 'dear', '&', 'amp', ';', 'best', 'friend', '..', 'goodev', 'dear', '..', ':', ')']"
ham,"['laptop', 'tak', '.']"
ham,"['dont', 'fil', 'bag', '..', 'work', 'cal', 'me.i', ""'ll"", 'tel', 'find', 'anyth', 'room', '.']"
ham,"['wan', 'ear', 'lei', '...', 'outsid', 'wun', 'b', 'hom', 'ear', '...', 'nev', 'mind', '...']"
spam,"['ur', 'chant', 'win', 'a250', 'cash', 'every', 'wk', 'txt', ':', 'act', '80608', '.', ""'s"", '&', 'c', ""'s"", 'www.movietrivia.tv', 'custc', '08712405022', ',', '1x150p/wk']"
ham,"['bug', 'juz', 'wat', '...', ""'m"", 'walk', 'hom', 'ored', '...', 'ii', 'lat', 'reply', '...', 'oso', 'saw', 'top', 'dat', 'lik', 'din', 'buy', '...', 'r', 'i_', '?']"
ham,"['wish', 'famy', 'merry', '\\x\\', '``', 'mas', 'happy', 'new', 'year', 'adv', '..', '``']"
ham,"['7', 'go', 'ok', 'na', '.']"
ham,"['ye', 'post', 'coupl', 'pic', 'fb', '.', ""'s"", 'stil', 'snow', 'outsid', '.', ""'m"", 'wak', ':', ')']"
ham,"[':', '-', ')', 'on', 'good', 'partn', 'going', 'tak', 'lead', ':', ')']"
spam,"['rgent', '!', '2nd', 'attempt', 'contact', 'u', '!', 'u', 'a1250', 'cal', '09071512433', 'b4', '050703', '&', 'csbcm4235wc1n3xx', '.', 'callcost', '150ppm', 'mobilesv', '.', 'maxa7', '.', '50']"
ham,"['yeah', ',', ""'s"", 'class', '?']"
ham,"['send', '.', 'bec', 'templ', 'na', '.']"
ham,"[""n't"", 'com', 'hom', 'class', ',', 'right', '?', 'nee', 'work', 'show', '!']"
